Date	Month	Channel	Owner	Brand	Pack Size	Pack Type	SKU	Price Tier	Unit Sales	Sales Value	Distribution	Cost of Sales	Price	Gross Profit	Indirect Costs	Operating Profit	Unit Sales Monthly Change	Sales Value Monthly Change	Distribution Monthly Change	Cost of Sales Monthly Change	Price Monthly Change	Gross Profit Monthly Change	Indirect Costs Monthly Change	Operating Profit Monthly Change
01/01/2011	Jan-11	Hypermarkets	Black Mesa	Epsilon	12	Standard	Epsilon 12 Pack Standard	Budget	1207	63214	82.07	160.6	52.37	63053.4	58869.6	4183.8	1207	63214	82.07	160.6	52.37	63053.4	58869.6	4183.8
01/01/2011	Jan-11	Hypermarkets	Black Mesa	Iota	12	Giftset	Iota 12 Pack Giftset	Regular	610	55730	93.91	141.59	91.36	55588.41	51899.59	3688.82	610	55730	93.91	141.59	91.36	55588.41	51899.59	3688.82
01/01/2011	Jan-11	Hypermarkets	Black Mesa	Iota	12	Standard	Iota 12 Pack Standard	Regular	1096	90079	95.69	228.85	82.19	89850.15	83887.66	5962.49	1096	90079	95.69	228.85	82.19	89850.15	83887.66	5962.49
01/01/2011	Jan-11	Hypermarkets	Black Mesa	Lambda	8	Standard	Lambda 8 Pack Standard	Budget	469	30940	73.82	78.61	65.97	30861.39	28813.73	2047.66	469	30940	73.82	78.61	65.97	30861.39	28813.73	2047.66
01/01/2011	Jan-11	Hypermarkets	Black Mesa	Lambda	12	Standard	Lambda 12 Pack Standard	Budget	2948	168473	99.48	428.02	57.15	168044.98	156894.53	11150.45	2948	168473	99.48	428.02	57.15	168044.98	156894.53	11150.45
01/01/2011	Jan-11	Hypermarkets	Black Mesa	Mu	12	Standard	Mu 12 Pack Standard	Premium	105	16874	25.45	42.87	160.7	16831.13	15714.65	1116.48	105	16874	25.45	42.87	160.7	16831.13	15714.65	1116.48
01/01/2011	Jan-11	Hypermarkets	Black Mesa	Theta	6	Standard	Theta 6 Pack Standard	Regular	133	12991	16.45	33.01	97.68	12957.99	12098.34	859.65	133	12991	16.45	33.01	97.68	12957.99	12098.34	859.65
01/01/2011	Jan-11	Hypermarkets	Black Mesa	Theta	8	Standard	Theta 8 Pack Standard	Regular	890	77897	99.34	197.9	87.52	77699.1	72543.1	5156	890	77897	99.34	197.9	87.52	77699.1	72543.1	5156
01/01/2011	Jan-11	Hypermarkets	Black Mesa	Theta	12	Deluxe	Theta 12 Pack Deluxe	Regular	1693	130549	94.55	331.67	77.11	130217.33	121576.23	8641.1	1693	130549	94.55	331.67	77.11	130217.33	121576.23	8641.1
01/01/2011	Jan-11	Hypermarkets	Black Mesa	Theta	12	Giftset	Theta 12 Pack Giftset	Regular	6623	506206	99.42	1286.07	76.43	504919.93	471415.56	33504.37	6623	506206	99.42	1286.07	76.43	504919.93	471415.56	33504.37
01/01/2011	Jan-11	Hypermarkets	Black Mesa	Theta	12	Standard	Theta 12 Pack Standard	Regular	4514	328711	100	835.12	72.82	327875.88	306118.91	21756.97	4514	328711	100	835.12	72.82	327875.88	306118.91	21756.97
01/01/2011	Jan-11	Hypermarkets	Black Mesa	Theta	18	Standard	Theta 18 Pack Standard	Regular	16594	999335	98.39	2538.91	60.22	996796.09	930652.88	66143.21	16594	999335	98.39	2538.91	60.22	996796.09	930652.88	66143.21
01/01/2011	Jan-11	Hypermarkets	LexCorp	Gamma	12	Standard	Gamma 12 Pack Standard	Budget	2600	162545	98.33	412.96	62.52	162132.04	151373.95	10758.09	2600	162545	98.33	412.96	62.52	162132.04	151373.95	10758.09
01/01/2011	Jan-11	Hypermarkets	MomCorp	Alpha	12	Standard	Alpha 12 Pack Standard	Regular	396	35555	70.78	90.33	89.79	35464.67	33111.19	2353.48	396	35555	70.78	90.33	89.79	35464.67	33111.19	2353.48
01/01/2011	Jan-11	Hypermarkets	MomCorp	Alpha	18	Standard	Alpha 18 Pack Standard	Regular	1575	114674	92.19	291.34	72.81	114382.66	106792.48	7590.18	1575	114674	92.19	291.34	72.81	114382.66	106792.48	7590.18
01/01/2011	Jan-11	Hypermarkets	Rekall	Beta	8	Standard	Beta 8 Pack Standard	Premium	735	84024	92.28	213.47	114.32	83810.53	78249.18	5561.35	735	84024	92.28	213.47	114.32	83810.53	78249.18	5561.35
01/01/2011	Jan-11	Hypermarkets	Rekall	Beta	12	Deluxe	Beta 12 Pack Deluxe	Premium	688	79887	64.09	202.96	116.11	79684.04	74396.51	5287.53	688	79887	64.09	202.96	116.11	79684.04	74396.51	5287.53
01/01/2011	Jan-11	Hypermarkets	Rekall	Beta	12	Giftset	Beta 12 Pack Giftset	Premium	1727	197923	95.62	502.84	114.61	197420.16	184320.3	13099.86	1727	197923	95.62	502.84	114.61	197420.16	184320.3	13099.86
01/01/2011	Jan-11	Hypermarkets	Rekall	Beta	12	Standard	Beta 12 Pack Standard	Premium	7383	713849	99.2	1813.61	96.69	712035.39	664787.82	47247.57	7383	713849	99.2	1813.61	96.69	712035.39	664787.82	47247.57
01/01/2011	Jan-11	Hypermarkets	Rekall	Beta	18	Standard	Beta 18 Pack Standard	Premium	4094	372800	96.81	947.14	91.06	371852.86	347177.95	24674.91	4094	372800	96.81	947.14	91.06	371852.86	347177.95	24674.91
01/01/2011	Jan-11	Hypermarkets	Rekall	Beta	60	Standard	Beta 60 Pack Standard	Premium	893	90274	54.39	229.35	101.09	90044.65	84069.26	5975.39	893	90274	54.39	229.35	101.09	90044.65	84069.26	5975.39
01/01/2011	Jan-11	Hypermarkets	Stark Ind	Omega	12	Standard	Omega 12 Pack Standard	Budget	979	56381	72.03	143.24	57.59	56237.76	52505.84	3731.92	979	56381	72.03	143.24	57.59	56237.76	52505.84	3731.92
01/01/2011	Jan-11	Hypermarkets	Tyrell Corp	Kappa	8	Standard	Kappa 8 Pack Standard	Regular	872	68483	96.5	173.99	78.54	68309.01	63776.66	4532.35	872	68483	96.5	173.99	78.54	68309.01	63776.66	4532.35
01/01/2011	Jan-11	Hypermarkets	Tyrell Corp	Kappa	12	Standard	Kappa 12 Pack Standard	Regular	1891	134746	96.8	342.34	71.26	134403.66	125485.34	8918.32	1891	134746	96.8	342.34	71.26	134403.66	125485.34	8918.32
01/01/2011	Jan-11	Hypermarkets	Tyrell Corp	Kappa	18	Standard	Kappa 18 Pack Standard	Regular	3067	203498	96.63	517.01	66.35	202980.99	189512.32	13468.67	3067	203498	96.63	517.01	66.35	202980.99	189512.32	13468.67
01/01/2011	Jan-11	Hypermarkets	Wayne Ent	Pi	12	Giftset	Pi 12 Pack Giftset	Regular	804	62191	79.48	158	77.35	62033	57916.35	4116.65	804	62191	79.48	158	77.35	62033	57916.35	4116.65
01/01/2011	Jan-11	Supermarkets	Aperture	Delta	12	Standard	Delta 12 Pack Standard	Budget	838	50490	19.08	128.27	60.25	50361.73	47019.91	3341.82	838	50490	19.08	128.27	60.25	50361.73	47019.91	3341.82
01/01/2011	Jan-11	Supermarkets	Aperture	Eta	12	Standard	Eta 12 Pack Standard	Budget	752	35716	4.15	90.74	47.49	35625.26	33261.49	2363.77	752	35716	4.15	90.74	47.49	35625.26	33261.49	2363.77
01/01/2011	Jan-11	Supermarkets	Aperture	Omicron	8	Standard	Omicron 8 Pack Standard	Regular	18593	1339286	50.48	3402.59	72.03	1335883.41	1247239.11	88644.3	18593	1339286	50.48	3402.59	72.03	1335883.41	1247239.11	88644.3
01/01/2011	Jan-11	Supermarkets	Aperture	Omicron	12	Deluxe	Omicron 12 Pack Deluxe	Regular	383	37627	9.96	95.6	98.24	37531.4	35041.15	2490.25	383	37627	9.96	95.6	98.24	37531.4	35041.15	2490.25
01/01/2011	Jan-11	Supermarkets	Aperture	Omicron	12	Giftset	Omicron 12 Pack Giftset	Regular	3831	331785	33.52	842.93	86.61	330942.07	308982.02	21960.05	3831	331785	33.52	842.93	86.61	330942.07	308982.02	21960.05
01/01/2011	Jan-11	Supermarkets	Aperture	Omicron	12	Standard	Omicron 12 Pack Standard	Regular	10205	732823	36.64	1861.81	71.81	730961.19	682457.59	48503.6	10205	732823	36.64	1861.81	71.81	730961.19	682457.59	48503.6
01/01/2011	Jan-11	Supermarkets	Aperture	Omicron	18	Standard	Omicron 18 Pack Standard	Regular	4793	316745	27.97	804.73	66.08	315940.27	294976.06	20964.21	4793	316745	27.97	804.73	66.08	315940.27	294976.06	20964.21
01/01/2011	Jan-11	Supermarkets	Aperture	Sigma	12	Giftset	Sigma 12 Pack Giftset	Premium	346	59810	10.99	151.96	172.86	59658.04	55699.74	3958.3	346	59810	10.99	151.96	172.86	59658.04	55699.74	3958.3
01/01/2011	Jan-11	Supermarkets	Aperture	Sigma	12	Standard	Sigma 12 Pack Standard	Premium	632	99834	15.6	253.64	157.97	99580.36	92972.59	6607.77	632	99834	15.6	253.64	157.97	99580.36	92972.59	6607.77
01/01/2011	Jan-11	Supermarkets	Aperture	Tau	12	Standard	Tau 12 Pack Standard	Regular	461	32039	11.87	81.4	69.5	31957.6	29836.83	2120.77	461	32039	11.87	81.4	69.5	31957.6	29836.83	2120.77
01/01/2011	Jan-11	Supermarkets	Black Mesa	Epsilon	12	Standard	Epsilon 12 Pack Standard	Budget	767	43339	11.92	110.11	56.5	43228.89	40360.01	2868.88	767	43339	11.92	110.11	56.5	43228.89	40360.01	2868.88
01/01/2011	Jan-11	Supermarkets	Black Mesa	Iota	12	Giftset	Iota 12 Pack Giftset	Regular	728	66959	15.17	170.12	91.98	66788.88	62357.4	4431.48	728	66959	15.17	170.12	91.98	66788.88	62357.4	4431.48
01/01/2011	Jan-11	Supermarkets	Black Mesa	Iota	12	Standard	Iota 12 Pack Standard	Regular	563	50699	13.72	128.81	90.05	50570.19	47214.36	3355.83	563	50699	13.72	128.81	90.05	50570.19	47214.36	3355.83
01/01/2011	Jan-11	Supermarkets	Black Mesa	Lambda	8	Standard	Lambda 8 Pack Standard	Budget	383	26911	10.71	68.37	70.26	26842.63	25061.64	1780.99	383	26911	10.71	68.37	70.26	26842.63	25061.64	1780.99
01/01/2011	Jan-11	Supermarkets	Black Mesa	Lambda	12	Standard	Lambda 12 Pack Standard	Budget	1884	118360	27.35	300.7	62.82	118059.3	110224.96	7834.34	1884	118360	27.35	300.7	62.82	118059.3	110224.96	7834.34
01/01/2011	Jan-11	Supermarkets	Black Mesa	Mu	12	Standard	Mu 12 Pack Standard	Premium	291	47244	7.97	120.03	162.35	47123.97	43997	3126.97	291	47244	7.97	120.03	162.35	47123.97	43997	3126.97
01/01/2011	Jan-11	Supermarkets	Black Mesa	Theta	6	Standard	Theta 6 Pack Standard	Regular	344	34654	9.04	88.04	100.74	34565.96	32271.92	2294.04	344	34654	9.04	88.04	100.74	34565.96	32271.92	2294.04
01/01/2011	Jan-11	Supermarkets	Black Mesa	Theta	8	Standard	Theta 8 Pack Standard	Regular	1871	173690	27.21	441.28	92.83	173248.72	161752.42	11496.3	1871	173690	27.21	441.28	92.83	173248.72	161752.42	11496.3
01/01/2011	Jan-11	Supermarkets	Black Mesa	Theta	12	Deluxe	Theta 12 Pack Deluxe	Regular	1461	115226	13.26	292.75	78.87	114933.25	107307.1	7626.15	1461	115226	13.26	292.75	78.87	114933.25	107307.1	7626.15
01/01/2011	Jan-11	Supermarkets	Black Mesa	Theta	12	Giftset	Theta 12 Pack Giftset	Regular	2836	239150	24.5	607.58	84.33	238542.42	222714.03	15828.39	2836	239150	24.5	607.58	84.33	238542.42	222714.03	15828.39
01/01/2011	Jan-11	Supermarkets	Black Mesa	Theta	12	Standard	Theta 12 Pack Standard	Regular	22206	1391524	62.89	3535.31	62.66	1387988.69	1295887.25	92101.44	22206	1391524	62.89	3535.31	62.66	1387988.69	1295887.25	92101.44
01/01/2011	Jan-11	Supermarkets	Black Mesa	Theta	18	Standard	Theta 18 Pack Standard	Regular	5645	368566	26.43	936.38	65.29	367629.62	343234.75	24394.87	5645	368566	26.43	936.38	65.29	367629.62	343234.75	24394.87
01/01/2011	Jan-11	Supermarkets	LexCorp	Gamma	12	Standard	Gamma 12 Pack Standard	Budget	1748	120541	27.13	306.25	68.96	120234.75	112256.06	7978.69	1748	120541	27.13	306.25	68.96	120234.75	112256.06	7978.69
01/01/2011	Jan-11	Supermarkets	MomCorp	Alpha	12	Standard	Alpha 12 Pack Standard	Regular	847	75568	15.15	191.99	89.22	75376.01	70373.98	5002.03	847	75568	15.15	191.99	89.22	75376.01	70373.98	5002.03
01/01/2011	Jan-11	Supermarkets	MomCorp	Alpha	18	Standard	Alpha 18 Pack Standard	Regular	319	25450	6.42	64.66	79.78	25385.34	23700.5	1684.84	319	25450	6.42	64.66	79.78	25385.34	23700.5	1684.84
01/01/2011	Jan-11	Supermarkets	Rekall	Beta	8	Standard	Beta 8 Pack Standard	Premium	945	119762	20.81	304.27	126.73	119457.73	111530.79	7926.94	945	119762	20.81	304.27	126.73	119457.73	111530.79	7926.94
01/01/2011	Jan-11	Supermarkets	Rekall	Beta	12	Deluxe	Beta 12 Pack Deluxe	Premium	485	59689	12.16	151.64	123.07	59537.36	55586.31	3951.05	485	59689	12.16	151.64	123.07	59537.36	55586.31	3951.05
01/01/2011	Jan-11	Supermarkets	Rekall	Beta	12	Giftset	Beta 12 Pack Giftset	Premium	930	120709	18.22	306.67	129.79	120402.33	112413.08	7989.25	930	120709	18.22	306.67	129.79	120402.33	112413.08	7989.25
01/01/2011	Jan-11	Supermarkets	Rekall	Beta	12	Standard	Beta 12 Pack Standard	Premium	6137	628434	34.02	1596.6	102.4	626837.4	585242.87	41594.53	6137	628434	34.02	1596.6	102.4	626837.4	585242.87	41594.53
01/01/2011	Jan-11	Supermarkets	Rekall	Beta	18	Standard	Beta 18 Pack Standard	Premium	1915	185317	17.06	470.81	96.77	184846.19	172580.12	12266.07	1915	185317	17.06	470.81	96.77	184846.19	172580.12	12266.07
01/01/2011	Jan-11	Supermarkets	Rekall	Beta	60	Standard	Beta 60 Pack Standard	Premium	107	13445	2.39	34.16	125.65	13410.84	12520.76	890.08	107	13445	2.39	34.16	125.65	13410.84	12520.76	890.08
01/01/2011	Jan-11	Supermarkets	Stark Ind	Omega	12	Standard	Omega 12 Pack Standard	Budget	233	15511	4.15	39.41	66.57	15471.59	14444.58	1027.01	233	15511	4.15	39.41	66.57	15471.59	14444.58	1027.01
01/01/2011	Jan-11	Supermarkets	Tyrell Corp	Kappa	8	Standard	Kappa 8 Pack Standard	Regular	776	69099	19.87	175.55	89.05	68923.45	64349.95	4573.5	776	69099	19.87	175.55	89.05	68923.45	64349.95	4573.5
01/01/2011	Jan-11	Supermarkets	Tyrell Corp	Kappa	12	Standard	Kappa 12 Pack Standard	Regular	2216	166212	26.44	422.28	75.01	165789.72	154788.55	11001.17	2216	166212	26.44	422.28	75.01	165789.72	154788.55	11001.17
01/01/2011	Jan-11	Supermarkets	Tyrell Corp	Kappa	18	Standard	Kappa 18 Pack Standard	Regular	927	68194	12.49	173.26	73.56	68020.74	63507.34	4513.4	927	68194	12.49	173.26	73.56	68020.74	63507.34	4513.4
01/01/2011	Jan-11	Supermarkets	Wayne Ent	Pi	12	Giftset	Pi 12 Pack Giftset	Regular	188	15899	5.74	40.39	84.57	15858.61	14806.66	1051.95	188	15899	5.74	40.39	84.57	15858.61	14806.66	1051.95
01/02/2011	Feb-11	Hypermarkets	Aperture	Delta	12	Standard	Delta 12 Pack Standard	Budget	1997	110395	96.71	280.47	55.28	110114.53	102807.94	7306.59	232	14951	-0.54	37.99	1.2	14913.01	13923.82	989.19
01/02/2011	Feb-11	Hypermarkets	Aperture	Eta	12	Standard	Eta 12 Pack Standard	Budget	698	33109	15.11	84.11	47.43	33024.89	30833.11	2191.78	25	1179	1.7	2.99	-0.01	1176.01	1097.97	78.04
01/02/2011	Feb-11	Hypermarkets	Aperture	Omicron	8	Standard	Omicron 8 Pack Standard	Regular	1194	99437	99.63	252.63	83.28	99184.37	92602.69	6581.68	94	7917	0.47	20.11	0.08	7896.89	7372.32	524.57
01/02/2011	Feb-11	Hypermarkets	Aperture	Omicron	12	Deluxe	Omicron 12 Pack Deluxe	Regular	513	44993	92.4	114.31	87.71	44878.69	41901.08	2977.61	-35	-3911	2.72	-9.93	-1.53	-3901.07	-3641.46	-259.61
01/02/2011	Feb-11	Hypermarkets	Aperture	Omicron	12	Giftset	Omicron 12 Pack Giftset	Regular	2622	232062	99.33	589.58	88.51	231472.42	216112.8	15359.62	-685	-37405	1.14	-95.03	7.03	-37309.97	-34833.85	-2476.12
01/02/2011	Feb-11	Hypermarkets	Aperture	Omicron	12	Standard	Omicron 12 Pack Standard	Regular	6954	506628	99.95	1287.14	72.85	505340.86	471808.37	33532.49	-2642	-155666	0.43	-395.49	3.83	-155270.51	-144967.17	-10303.34
01/02/2011	Feb-11	Hypermarkets	Aperture	Omicron	18	Standard	Omicron 18 Pack Standard	Regular	5454	370063	97.59	940.18	67.85	369122.82	344628.86	24493.96	-1175	-39549	1.31	-100.48	6.06	-39448.52	-36830.88	-2617.64
01/02/2011	Feb-11	Hypermarkets	Aperture	Sigma	12	Giftset	Sigma 12 Pack Giftset	Premium	736	120790	93.77	306.88	164.12	120483.12	112487.95	7995.17	41	15042	22.59	38.22	11.96	15003.78	14007.63	996.15
01/02/2011	Feb-11	Hypermarkets	Aperture	Sigma	12	Standard	Sigma 12 Pack Standard	Premium	763	111529	95.87	283.35	146.17	111245.65	103864	7381.65	56	9579	3.68	24.34	1.97	9554.66	8920.65	634.01
01/02/2011	Feb-11	Hypermarkets	Aperture	Tau	12	Standard	Tau 12 Pack Standard	Regular	1164	78391	81.15	199.16	67.35	78191.84	73003.52	5188.32	54	7436	-2.23	18.89	3.43	7417.11	6925.32	491.79
01/02/2011	Feb-11	Hypermarkets	Black Mesa	Epsilon	12	Standard	Epsilon 12 Pack Standard	Budget	1213	63185	81.12	160.53	52.09	63024.47	58842.22	4182.25	6	-29	-0.95	-0.07	-0.28	-28.93	-27.38	-1.55
01/02/2011	Feb-11	Hypermarkets	Black Mesa	Iota	12	Giftset	Iota 12 Pack Giftset	Regular	1253	109962	93.01	279.37	87.76	109682.63	102404.51	7278.12	643	54232	-0.9	137.78	-3.6	54094.22	50504.92	3589.3
01/02/2011	Feb-11	Hypermarkets	Black Mesa	Iota	12	Standard	Iota 12 Pack Standard	Regular	840	71146	92.9	180.75	84.7	70965.25	66255.89	4709.36	-256	-18933	-2.79	-48.1	2.51	-18884.9	-17631.77	-1253.13
01/02/2011	Feb-11	Hypermarkets	Black Mesa	Lambda	8	Standard	Lambda 8 Pack Standard	Budget	758	46438	70.69	117.98	61.26	46320.02	43246.03	3073.99	289	15498	-3.13	39.37	-4.71	15458.63	14432.3	1026.33
01/02/2011	Feb-11	Hypermarkets	Black Mesa	Lambda	12	Standard	Lambda 12 Pack Standard	Budget	4202	226134	99.53	574.52	53.82	225559.48	210592.22	14967.26	1254	57661	0.05	146.5	-3.33	57514.5	53697.69	3816.81
01/02/2011	Feb-11	Hypermarkets	Black Mesa	Mu	12	Standard	Mu 12 Pack Standard	Premium	206	30985	49.79	78.72	150.41	30906.28	28855.09	2051.19	101	14111	24.34	35.85	-10.29	14075.15	13140.44	934.71
01/02/2011	Feb-11	Hypermarkets	Black Mesa	Theta	6	Standard	Theta 6 Pack Standard	Regular	176	17145	20.39	43.56	97.41	17101.44	15966.65	1134.79	43	4154	3.94	10.55	-0.27	4143.45	3868.31	275.14
01/02/2011	Feb-11	Hypermarkets	Black Mesa	Theta	8	Standard	Theta 8 Pack Standard	Regular	832	73745	98.46	187.36	88.64	73557.64	68676.46	4881.18	-58	-4152	-0.88	-10.54	1.12	-4141.46	-3866.64	-274.82
01/02/2011	Feb-11	Hypermarkets	Black Mesa	Theta	12	Deluxe	Theta 12 Pack Deluxe	Regular	1184	93041	94.29	236.38	78.58	92804.62	86646.83	6157.79	-509	-37508	-0.26	-95.29	1.47	-37412.71	-34929.4	-2483.31
01/02/2011	Feb-11	Hypermarkets	Black Mesa	Theta	12	Giftset	Theta 12 Pack Giftset	Regular	4069	338565	98.44	860.16	83.21	337704.84	315296.04	22408.8	-2554	-167641	-0.98	-425.91	6.78	-167215.09	-156119.52	-11095.57
01/02/2011	Feb-11	Hypermarkets	Black Mesa	Theta	12	Standard	Theta 12 Pack Standard	Regular	7652	545132	99.58	1384.97	71.24	543747.03	507666.43	36080.6	3138	216421	-0.42	549.85	-1.58	215871.15	201547.52	14323.63
01/02/2011	Feb-11	Hypermarkets	Black Mesa	Theta	18	Standard	Theta 18 Pack Standard	Regular	17552	1059934	98.94	2692.87	60.39	1057241.13	987086.28	70154.85	958	60599	0.55	153.96	0.17	60445.04	56433.4	4011.64
01/02/2011	Feb-11	Hypermarkets	LexCorp	Gamma	12	Standard	Gamma 12 Pack Standard	Budget	3179	197648	99.02	502.15	62.17	197145.85	184063.82	13082.03	579	35103	0.69	89.19	-0.35	35013.81	32689.87	2323.94
01/02/2011	Feb-11	Hypermarkets	MomCorp	Alpha	12	Standard	Alpha 12 Pack Standard	Regular	413	39449	67.07	100.22	95.52	39348.78	36738.11	2610.67	17	3894	-3.71	9.89	5.73	3884.11	3626.92	257.19
01/02/2011	Feb-11	Hypermarkets	MomCorp	Alpha	18	Standard	Alpha 18 Pack Standard	Regular	1602	119902	93.4	304.63	74.85	119597.37	111661.54	7935.83	27	5228	1.21	13.29	2.04	5214.71	4869.06	345.65
01/02/2011	Feb-11	Hypermarkets	Rekall	Beta	8	Standard	Beta 8 Pack Standard	Premium	1004	112577	99.61	286.01	112.13	112290.99	104840.16	7450.83	269	28553	7.33	72.54	-2.19	28480.46	26590.98	1889.48
01/02/2011	Feb-11	Hypermarkets	Rekall	Beta	12	Deluxe	Beta 12 Pack Deluxe	Premium	617	72914	67.73	185.24	118.18	72728.76	67902.57	4826.19	-71	-6973	3.64	-17.72	2.07	-6955.28	-6493.94	-461.34
01/02/2011	Feb-11	Hypermarkets	Rekall	Beta	12	Giftset	Beta 12 Pack Giftset	Premium	1919	224247	95.87	569.72	116.86	223677.28	208834.91	14842.37	192	26324	0.25	66.88	2.25	26257.12	24514.61	1742.51
01/02/2011	Feb-11	Hypermarkets	Rekall	Beta	12	Standard	Beta 12 Pack Standard	Premium	4353	438765	99.02	1114.73	100.8	437650.27	408609.47	29040.8	-3030	-275084	-0.18	-698.88	4.11	-274385.12	-256178.35	-18206.77
01/02/2011	Feb-11	Hypermarkets	Rekall	Beta	18	Standard	Beta 18 Pack Standard	Premium	3677	348833	95.31	886.25	94.87	347946.75	324858.15	23088.6	-417	-23967	-1.5	-60.89	3.81	-23906.11	-22319.8	-1586.31
01/02/2011	Feb-11	Hypermarkets	Rekall	Beta	60	Standard	Beta 60 Pack Standard	Premium	679	70635	46.41	179.45	104.03	70455.55	65780.39	4675.16	-214	-19639	-7.98	-49.9	2.94	-19589.1	-18288.87	-1300.23
01/02/2011	Feb-11	Hypermarkets	Stark Ind	Omega	12	Standard	Omega 12 Pack Standard	Budget	928	54749	67.19	139.1	59	54609.9	50986.57	3623.33	-51	-1632	-4.84	-4.14	1.41	-1627.86	-1519.27	-108.59
01/02/2011	Feb-11	Hypermarkets	Tyrell Corp	Kappa	8	Standard	Kappa 8 Pack Standard	Regular	886	71740	97.31	182.26	80.97	71557.74	66809.06	4748.68	14	3257	0.81	8.27	2.43	3248.73	3032.4	216.33
01/02/2011	Feb-11	Hypermarkets	Tyrell Corp	Kappa	12	Standard	Kappa 12 Pack Standard	Regular	2183	155881	98.73	396.03	71.41	155484.97	145167.21	10317.76	292	21135	1.93	53.69	0.15	21081.31	19681.87	1399.44
01/02/2011	Feb-11	Hypermarkets	Tyrell Corp	Kappa	18	Standard	Kappa 18 Pack Standard	Regular	3071	203151	96.97	516.13	66.15	202634.87	189188.8	13446.07	4	-347	0.34	-0.88	-0.2	-346.12	-323.52	-22.6
01/02/2011	Feb-11	Hypermarkets	Wayne Ent	Pi	12	Giftset	Pi 12 Pack Giftset	Regular	818	63784	61.2	162.05	77.98	63621.95	59399.87	4222.08	14	1593	-18.28	4.05	0.63	1588.95	1483.52	105.43
01/02/2011	Feb-11	Supermarkets	Aperture	Delta	12	Standard	Delta 12 Pack Standard	Budget	726	45149	22.07	114.71	62.19	45034.29	42045.8	2988.49	-112	-5341	2.99	-13.56	1.94	-5327.44	-4974.11	-353.33
01/02/2011	Feb-11	Supermarkets	Aperture	Eta	12	Standard	Eta 12 Pack Standard	Budget	791	37562	5.06	95.43	47.49	37466.57	34980.25	2486.32	39	1846	0.91	4.69	0	1841.31	1718.76	122.55
01/02/2011	Feb-11	Supermarkets	Aperture	Omicron	8	Standard	Omicron 8 Pack Standard	Regular	15457	1122737	49.26	2852.43	72.64	1119884.57	1045573.69	74310.88	-3136	-216549	-1.22	-550.16	0.61	-215998.84	-201665.42	-14333.42
01/02/2011	Feb-11	Supermarkets	Aperture	Omicron	12	Deluxe	Omicron 12 Pack Deluxe	Regular	527	51760	14.9	131.5	98.22	51628.5	48202.25	3426.25	144	14133	4.94	35.9	-0.02	14097.1	13161.1	936
