date	temperature
20120214	48.6
20120215	49.9
20120216	52.4
20120217	49.9
20120218	51.6
20120219	47.8
20120220	48.7
20120221	49.7
20120222	53.4
20120223	54.1
20120224	55.9
20120225	51.7
20120226	47.7
20120227	45.4
20120228	47.0
20120229	49.8
20120301	48.9
20120302	48.1
20120303	50.7
20120304	55.0
20120305	48.8
20120306	48.4
20120307	49.9
20120308	49.2
20120309	51.7
20120310	49.3
20120311	50.0
20120312	48.6
20120313	53.9
20120314	55.2
20120315	55.9
20120316	54.6
20120317	48.2
20120318	47.1
20120319	45.8
20120320	49.7
20120321	51.4
20120322	51.4
20120323	48.4
20120324	49.0
20120325	46.4
20120326	49.7
20120327	54.1
20120328	54.6
20120329	52.3
20120330	54.5
20120331	56.2
20120401	51.1
20120402	50.5
20120403	52.2
20120404	50.6
20120405	47.9
20120406	47.4
20120407	49.4
20120408	50.0
20120409	51.3
20120410	53.8
20120411	52.9
20120412	53.9
20120413	50.2
20120414	50.9
20120415	51.5
20120416	51.9
20120417	53.2
20120418	53.0
20120419	55.1
20120420	55.8
20120421	58.0
20120422	52.8
20120423	55.1
20120424	57.9
20120425	57.5
20120426	55.3
20120427	53.5
20120428	54.7
20120429	54.0
20120430	53.4
20120501	52.7
20120502	50.7
20120503	52.6
20120504	53.4
20120505	53.1
20120506	56.5
20120507	55.3
20120508	52.0
20120509	52.4
20120510	53.4
20120511	53.1
20120512	49.9
20120513	52.0
20120514	56.0
20120515	53.0
20120516	51.0
20120517	51.4
20120518	52.2
20120519	52.4
20120520	54.5
20120521	52.8
20120522	53.9
20120523	56.5
20120524	54.7
20120525	52.5
20120526	52.1
20120527	52.2
20120528	52.9
20120529	52.1
20120530	52.1
20120531	53.3
20120601	54.8
20120602	54.0
20120603	52.3
20120604	55.3
20120605	53.5
20120606	54.1
20120607	53.9
20120608	54.4
20120609	55.0
20120610	60.0
20120611	57.2
20120612	55.1
20120613	53.3
20120614	53.4
20120615	54.6
20120616	57.0
20120617	55.6
20120618	52.5
20120619	53.9
20120620	55.3
20120621	53.3
20120622	54.1
20120623	55.2
20120624	55.8
20120625	56.8
20120626	57.5
20120627	57.7
20120628	56.6
20120629	56.4
20120630	58.4
20120701	58.8
20120702	56.4
20120703	56.5
20120704	55.8
20120705	54.8
20120706	54.9
20120707	54.7
20120708	52.8
20120709	53.7
20120710	53.1
20120711	52.7
20120712	52.0
20120713	53.4
20120714	54.0
20120715	54.0
20120716	54.5
20120717	56.7
20120718	57.5
20120719	57.1
20120720	58.1
20120721	57.6
20120722	56.0
20120723	56.6
20120724	57.8
20120725	57.5
20120726	56.4
20120727	55.3
20120728	55.0
20120729	55.6
20120730	55.6
20120731	55.9
20120801	55.4
20120802	54.4
20120803	53.7
20120804	54.1
20120805	57.8
20120806	58.2
20120807	58.0
20120808	57.0
20120809	55.0
20120810	54.8
20120811	53.0
20120812	52.5
20120813	53.3
20120814	53.9
20120815	56.2
20120816	57.1
20120817	55.3
20120818	56.2
20120819	54.3
20120820	53.1
20120821	53.4
20120822	54.5
20120823	55.7
20120824	54.8
20120825	53.8
20120826	56.5
20120827	58.3
20120828	58.7
20120829	57.5
20120830	55.9
20120831	55.4
20120901	55.7
20120902	53.1
20120903	53.5
20120904	52.5
20120905	54.5
20120906	56.3
20120907	56.4
20120908	56.5
20120909	56.4
20120910	55.4
20120911	56.2
20120912	55.7
20120913	54.3
20120914	55.2
20120915	54.3
20120916	52.9
20120917	54.8
20120918	54.8
20120919	56.8
20120920	55.4
20120921	55.8
20120922	55.9
20120923	52.8
20120924	54.5
20120925	53.3
20120926	53.6
20120927	52.1
20120928	52.6
20120929	53.9
20120930	55.1
