key,value,date
Twitter ads,260,01/06/15 21:00
Twitter ads,370,01/06/15 22:00
Twitter ads,310,01/06/15 23:00
Twitter ads,350,01/06/15 24:00
Google search,100,01/06/15 00:00
Google search,150,01/06/15 01:00
Google search,350,01/06/15 02:00
Google search,380,01/06/15 03:00
Google search,220,01/06/15 04:00
Google search,160,01/06/15 05:00
Google search,170,01/06/15 06:00
Google search,120,01/06/15 07:00
Google search,170,01/06/15 08:00
Google search,330,01/06/15 09:00
Google search,400,01/06/15 10:00
Google search,320,01/06/15 11:00
Google search,260,01/06/15 12:00
Google search,350,01/06/15 13:00
Google search,400,01/06/15 14:00
Google search,320,01/06/15 15:00
Google search,260,01/06/15 16:00
Google search,220,01/06/15 17:00
Google search,160,01/06/15 18:00
Google search,220,01/06/15 19:00
Google search,100,01/06/15 20:00
Google search,160,01/06/15 21:00
Google search,220,01/06/15 22:00
Google search,400,01/06/15 23:00
Google search,300,01/06/15 24:00
Dribbble ads,100,01/06/15 00:00
Dribbble ads,150,01/06/15 01:00
Dribbble ads,350,01/06/15 02:00
Dribbble ads,380,01/06/15 03:00
Dribbble ads,220,01/06/15 04:00
Dribbble ads,160,01/06/15 05:00
Dribbble ads,170,01/06/15 06:00
Dribbble ads,120,01/06/15 07:00
Dribbble ads,170,01/06/15 08:00
Dribbble ads,330,01/06/15 09:00
Dribbble ads,400,01/06/15 10:00
Dribbble ads,320,01/06/15 11:00
Dribbble ads,260,01/06/15 12:00
Dribbble ads,350,01/06/15 13:00
Dribbble ads,400,01/06/15 14:00
Dribbble ads,320,01/06/15 15:00
Dribbble ads,260,01/06/15 16:00
Dribbble ads,220,01/06/15 17:00
Dribbble ads,160,01/06/15 18:00
Dribbble ads,220,01/06/15 19:00
Dribbble ads,100,01/06/15 20:00
Dribbble ads,160,01/06/15 21:00
Dribbble ads,220,01/06/15 22:00
Dribbble ads,400,01/06/15 23:00
Dribbble ads,300,01/06/15 24:00
Amazon ads,100,01/06/15 00:00
Amazon ads,150,01/06/15 01:00
Amazon ads,350,01/06/15 02:00
Amazon ads,380,01/06/15 03:00
Amazon ads,220,01/06/15 04:00
Amazon ads,160,01/06/15 05:00
Amazon ads,170,01/06/15 06:00
Amazon ads,120,01/06/15 07:00
Amazon ads,170,01/06/15 08:00
Amazon ads,330,01/06/15 09:00
Amazon ads,400,01/06/15 10:00
Amazon ads,320,01/06/15 11:00
Amazon ads,260,01/06/15 12:00
Amazon ads,350,01/06/15 13:00
Amazon ads,400,01/06/15 14:00
Amazon ads,320,01/06/15 15:00
Amazon ads,260,01/06/15 16:00
Amazon ads,220,01/06/15 17:00
Amazon ads,160,01/06/15 18:00
Amazon ads,220,01/06/15 19:00
Amazon ads,100,01/06/15 20:00
Amazon ads,160,01/06/15 21:00
Amazon ads,220,01/06/15 22:00
Amazon ads,300,01/06/15 23:00
Amazon ads,350,01/06/15 24:00
